index	premise	hypothesis	gold_label	number of correct responses (out of 100)
7258	Participate in the postaward audit for assessing thedegree of success of the acquisition.	An audit after the award has been presented.	entailment	58
7259	The Star reports that actress Jodie Foster is pregnant through artificial insemination.	It has been reported by The Star that Jodie Foster is not pregnant	contradiction	100
7260	and the NIT semifinals are on tonight	The NIT semifinals take place tonight.	entailment	100
7261	Arsenic would put poor Emily out of the way just as well as strychnine. 	Neither arsenic nor strychnine would be effective on Emily.	contradiction	100
7262	i've yeah i've done it before and when i was in high in high school and college and thoroughly enjoyed it and and it's really a a blast my wife hates it but that's the way life is i guess	I've never done it and don't think I would like it. 	contradiction	100
7263	So far, however, the number of mail pieces lost to alternative bill-paying methods is too small to have any material impact on First-Class volume.	The amount of mail lost is too smal  to leave an impact on volume 	entailment	98
7264	Or Sherlock Holmes?"	Or Watson?	contradiction	0
7265	Something in his mind seemed also to have developed a "tan" that let him face the bite of chance without flinching.	He had already lost most of his life savings at the roulette wheel, so what did one more spin count for.	neutral	100
7266	He's chosen Meg Ryan.	A possible selection would be Meg Ryan or Jon Doe.	contradiction	0
7267	Evaluating the intent of the six principles, we observed that they naturally fell into three distinct sets, which we refer to as critical success factors.	There are six principles and they can actually be naturally separated into more than two distinct sets.	entailment	72
7268	Mr. Inglethorp, said the Coroner, "you have heard your wife's dying words repeated here. 	Mr. Inglethorp, we are sorry we couldn't repeat your wife's dying words.	contradiction	100
7269	Unless the report is restricted by law or regulation, auditors should ensure that copies be made available for public inspection.	This report is most likely restricted by law or regulation and should not be ensured.	neutral	97
7270	Now sink of sorrow I who live--the more the wrong!Who wishing death, whom death denies, whose thread is all too long;Who tied to wretched life, who looks for no relief,Must spend my ever dying days in never ending grief.	I may be having suicidal thoughts and be wishing for death. 	entailment	3
7271	Two natural rock formations are always pointed out on excursions.	There is only one natural rock formation in the area.	contradiction	100
7272	yeah uh-huh yeah it's one of the things uh if you read in the newspapers and stuff he's the critics really like it or they really don't	 The critics either like or really dislike that one.	entailment	87
7273	It shows clearly enough that my poor old friend had just found out she'd been made a fool of!	I was sorry for my friend's predicament.	neutral	100
7274	He fled in his car when cops arrived and led them on a chase that ended in the massive crash.	The cops set off in pursuit until a traffic accident happened.	entailment	79
7275	According to the Natural Resources Conservation Service, this single, voluntary program will provide flexible technical, financial, and educational assistance to farmers and ranchers who face serious threats to soil, water, and related natural resources on agricultural and other lands, including grazing lands, wetlands, forest lands, and wildlife habitats.	This is a service that can help farmers and ranchers who face threats to their resources. 	entailment	100
7276	A newly unified Christian Spain under the Catholic Monarchs, Ferdinand and Isabella, completed the Reconquest, defeating the only Moorish enclave left on the Iberian peninsula, Granada, in 1492.	The last Moorish enclave was defeated in 1492.	entailment	100
7277	The pope, suggesting that Gen.	The Pope is making a suggestion.	entailment	100
7278	The pope, suggesting that Gen.	Gen is being suggested by the Pope. 	entailment	100
7279	Professor Rogers began her career by clerking for The Honorable Thomas D. Lambros of the United States District Court for the Northern District of Ohio.	Professor Rogers has always been a clerk to him.	contradiction	38
7280	During the half-century of its existence, Israel has absorbed approximately 2.5 million Jewish immigrants, displaced persons, refugees, and survivors of the Nazi Holocaust.	Israel was the Jewish populace's only option to escape from the Holocaust.	neutral	98
7281	Have her show it," said Thorn.	Thorn said she should show her new sword.	neutral	100
7282	Wanniski and company have been drubbed by the Wall Street Journal , the New York Times ' A.M.	the Wall Street Journal has never drubbed anybody.	contradiction	100
